text,emotion,severity,intent,context,response
Everything feels overwhelming in my work,sadness,high,general,work,"You are not alone, and it's okay to seek help."
am I dealing with anxiety and it is getting medium,anxiety,medium,general,family,Try taking small steps to manage your situation.
Everything feels overwhelming in my family,sadness,low,crisis,family,"You are not alone, and it's okay to seek help."
I feel medium levels of stress recently,stress,medium,crisis,family,Try taking small steps to manage your situation.
I feel anger because of my study,anger,medium,general,study,It sounds like you're going through something difficult.
I feel medium levels of stress recently,stress,medium,general,work,It might help to take a break and relax.
I am dealing with neutral and it is getting medium,neutral,high,information,health,Seeking professional support could be beneficial.
I feel anxiety because of my social,anxiety,high,help,social,"You are not alone, and it's okay to seek help."
Lately my family has been causing me anger,anger,medium,help,family,Seeking professional support could be beneficial.
Sometimes I feel without any reason,anger,high,information,family,Consider talking to someone you trust.
I neutral feel because of my health,neutral,medium,general,health,Consider talking to someone you trust.
Sometimes I feel anxiety without any reason,anxiety,high,vent,family,It sounds like you're going through something difficult.
Lately my family has been causing me stress,stress,high,general,family,Consider talking to someone you trust.
Sometimes I feel anxiety without any reason,anxiety,medium,information,health,Seeking professional support could be beneficial.
Lately my work has been causing me stress,stress,high,crisis,work,It might help to take a break and relax.
I don't how know to handle this stress anymore,stress,high,vent,health,Consider talking to someone you trust.
Everything feels in my family,anxiety,high,general,family,Seeking professional support could be beneficial.
Lately my family has been causing me stress,stress,medium,general,family,It might help to take a break and relax.
I don't know how to handle this anger anymore,anger,medium,information,work,Try taking small steps to manage your situation.
I feel high levels of sadness recently,sadness,high,vent,study,Consider talking to someone you trust.
Everything feels overwhelming in my work,anxiety,low,help,work,Try taking small steps to manage your situation.
Everything overwhelming feels in social,neutral,medium,vent,social,"You are not alone, and it's okay to seek help."
Lately my family has been me sadness,sadness,medium,help,family,It sounds like you're going through something difficult.
Everything overwhelming feels in my social,sadness,low,help,social,It sounds like you're going through something difficult.
I don't know how to handle this neutral anymore,neutral,high,vent,work,It sounds like you're going through something difficult.
Lately my health has causing me anxiety,anxiety,low,vent,health,It might help to take a break and relax.
I don't know how to handle this stress anymore,stress,medium,vent,work,Seeking professional support could be beneficial.
I don't know how handle to this anxiety anymore,anxiety,high,general,study,It might help to take a break and relax.
Lately my work has been me anger,anger,high,information,work,Try taking small steps to manage your situation.
Sometimes I feel sadness without any reason,sadness,medium,information,family,It might help to take a break and relax.
I am dealing with stress and it is getting low,stress,low,vent,health,Consider talking to someone you trust.
Everything feels overwhelming in my social,neutral,low,information,social,Consider talking to someone you trust.
